カテゴリ,項目,当組織今回,当組織前回,職員全体,当機構全体,経年ギャップ,貴組織-全体
仕事,Ｑ１．あなたは、基本理念・行動指針を理解している,3.95,4.07,4.13,4.1,-0.12,-0.18
仕事,Ｑ２．あなたは、基本理念・行動指針に共感している,3.84,3.93,4.02,4.04,-0.09,-0.18
仕事,Ｑ３．あなたは、基本理念・行動指針を意識して行動している　※２,3.68,3.8,3.87,3.95,-0.12,-0.19
仕事,Ｑ４．あなたは、自分の目標・役割に納得している　※２,3.16,3.8,3.76,3.86,-0.64,-0.6
仕事,Ｑ５．あなたの目標・役割は、挑戦しがいがある　※２,3.37,3.6,3.64,3.67,-0.23,-0.27
仕事,Ｑ６．あなたの専門性や職務遂行能力は、今の仕事を通じて高まっている　※１,3.42,3.33,3.54,3.54,0.09,-0.12
仕事,Ｑ７．あなたは、仕事を通じて、中小機構の成長・発展への貢献を実感できる　※２,,,,,,
仕事,Ｑ８．あなたの仕事は、お客さま（中小機構内顧客を含む）のためになっていると実感する　※２,,,,,,
仕事,Ｑ９．あなたが仕事で良い結果を出した時は、上司・同僚から褒められる　※２,3.42,3.73,3.55,3.5,-0.31,-0.13
仕事,Ｑ１０．あなたは、仕事を進める上で必要な権限を与えられている　※２,3.63,3.47,3.77,3.56,0.16,-0.14
仕事,Ｑ１１．仕事を進める上で、必要以上に報告を求められることはない　※２,3.37,3.4,3.73,3.8,-0.03,-0.36
仕事,Ｑ１２．あなたは、仕事を進める上で、新しいテーマや内容にチャレンジしている　※２,3.63,3.87,3.63,3.56,-0.24,0.0
仕事,Ｑ１３．あなたは、中小機構における自分自身のキャリア目標（将来のありたい姿）を描いている　※１,,,,,,
仕事,Ｑ１４．中小機構には、あなたが考えるキャリアのロールモデルがいる　※１,,,,,,
仕事,Ｑ１５．自分の仕事やキャリアに関して相談できる人が中小機構内にいる　※１,,,,,,
仕事,Ｑ１８．今の仕事にやりがいを感じている　※２,2.84,3.4,3.47,3.61,-0.56,-0.63
業務負荷・ＷＬＢ,Ｑ１９．あなたの仕事量は、自分の処理能力の範囲内である,3.74,3.4,3.63,3.83,0.34,0.11
業務負荷・ＷＬＢ,Ｑ２０．あなたにとって仕事による精神的な疲れは許容できる範囲である,3.47,3.2,3.49,3.72,0.27,-0.02
業務負荷・ＷＬＢ,Ｑ２１．職場では、所定の勤務時間を十分意識して業務が進められている,3.63,3.6,3.41,3.82,0.03,0.22
業務負荷・ＷＬＢ,Ｑ２２．あなたは、仕事と生活のバランスが取れていると思う,3.42,3.67,3.37,3.75,-0.25,0.05
業務負荷・ＷＬＢ,Ｑ２３．あなたは、心身に不調をきたすことなく働けている,3.26,3.33,3.49,3.75,-0.07,-0.23
職場,Ｑ２４．職場では、基本理念・行動指針を意識して業務が遂行されている,3.26,3.53,3.56,3.71,-0.27,-0.3
職場,Ｑ２５．職場には、中小機構の中長期的な方向性とそのための基本的な方針がきちんと伝えられ、共有されている　※２,,,,,,
職場,Ｑ２６．職場の組織目標達成に、みんなが関心を持っている　※２,2.63,3.13,3.29,3.4,-0.5,-0.66
職場,Ｑ２７．職場では、一体感が感じられる,2.79,2.93,3.3,3.34,-0.14,-0.51
職場,Ｑ２８．職場では、誰かが仕事で困っていれば見逃すことなく、サポートしたり声をかけたりしている,3.11,3.4,3.63,3.68,-0.29,-0.52
職場,Ｑ２９．職場では、個人で仕事を抱え込まず、チームで仕事を進めている,3.26,3.4,3.46,3.5,-0.14,-0.2
職場,Ｑ３０．職場では、メンバー同士が気さくに声をかけたり談笑したり、明るい雰囲気がある,3.32,3.8,3.72,3.71,-0.48,-0.4
職場,Ｑ３１．職場では、感謝の気持ちを伝えあっている,3.53,3.73,3.75,3.77,-0.2,-0.22
職場,Ｑ３２．職場では、役職・年齢・性別などを気にせず、仕事上言いたいことを何でも言える,2.95,3.53,3.53,3.48,-0.58,-0.58
職場,Ｑ３３．職場では、いろいろな考え方や多様な価値観を尊重する雰囲気がある,3.53,3.87,3.63,3.61,-0.34,-0.1
職場,Ｑ３４．職場では、必要な情報交換が行われ、共有されている,3.47,3.67,3.67,3.59,-0.2,-0.2
職場,Ｑ３５．職場では、職場の歴史・経緯、仕事に関する技術・知識が蓄積、共有・活用されている,2.84,3.13,3.15,3.24,-0.29,-0.31
職場,Ｑ３６．職場メンバーは、互いの成長のために刺激しあっている,2.68,2.73,3.1,3.2,-0.05,-0.42
職場,Ｑ３７．職場では、仕事上の問題点やアイデアを出す機会が多い,3.58,3.6,3.47,3.4,-0.02,0.11
職場,Ｑ３８．職場では、立案したことは計画倒れにせず、強いこだわりを持って完遂している,3.21,3.4,3.44,3.41,-0.19,-0.23
職場,Ｑ３９．職場では、仕事が終わった後に必ず振り返りを行って、次の仕事に活かしている,3.0,3.27,3.31,3.4,-0.27,-0.31
職場,Ｑ４０．職場では、言い出した人が損をするような傾向はない,2.53,3.07,3.03,3.3,-0.54,-0.5
職場,Ｑ４１．職場では、お客さま（中小機構内顧客を含む）の声が業務の改善に反映されている,,,,,,
職場,Ｑ４２．職場では、新しい工夫やチャレンジが行われている,3.32,3.33,3.49,3.42,-0.01,-0.17
職場,Ｑ４３．職場では、他の職場との連携が活発に行われている　※２,3.47,3.87,3.3,3.25,-0.4,0.17
職場,Ｑ４４．あなたは、職場メンバーを信頼している,3.68,4.07,3.84,3.85,-0.39,-0.16
上司,Ｑ４５．直属の管理職は、職場の目標達成のための課題を明確にしている　※２,3.21,3.67,3.69,3.72,-0.46,-0.48
上司,Ｑ４６．直属の管理職は、的確な判断や意思決定を適宜適切に行っている　※２,3.42,3.67,3.72,3.77,-0.25,-0.3
上司,Ｑ４７．直属の管理職は、率先して新しいことや困難な課題に挑戦している　※２,3.37,3.4,3.64,3.67,-0.03,-0.27
上司,Ｑ４８．直属の管理職は、言行一致を心がけ、責任感のある言動をとっている　※２,3.63,3.8,3.73,3.8,-0.17,-0.1
上司,Ｑ４９．直属の管理職は、部下の仕事の状況（内容や負荷）をよく知っている　※２,3.05,3.33,3.47,3.55,-0.28,-0.42
上司,Ｑ５０．直属の管理職は、すべての部下に対して公平な態度で接している　※２,3.95,3.67,3.9,3.94,0.28,0.05
上司,Ｑ５１．直属の管理職は、部下の能力向上のために積極的な指導・助言をしている　※１,3.37,3.53,3.52,3.52,-0.16,-0.15
上司,Ｑ５２．直属の管理職は、部下の今後のキャリアに関心を持ちアドバイス等をくれる　※１,3.0,3.8,3.26,3.26,-0.8,-0.26
上司,Ｑ５３．直属の管理職は、部下の仕事に関する意見をよく聞いてくれる　※２,3.37,3.6,3.88,3.89,-0.23,-0.51
上司,Ｑ５４．直属の管理職には、悪い情報でも相談・報告しやすい　※２,3.74,3.27,4.01,4.0,0.47,-0.27
上司,Ｑ５５．直属の管理職は、部下の仕事の状況や成果をよくみて評価している　※２,3.26,3.53,3.68,3.68,-0.27,-0.42
上司,Ｑ５６．直属の管理職は、部下の評価結果に至る背景や理由などを十分に説明している　※２,3.32,3.47,3.59,3.58,-0.15,-0.27
上司,Ｑ５７．あなたは、直属の管理職を信頼している　※２,3.53,3.67,3.87,3.93,-0.14,-0.34
人事制度,Ｑ５８．あなたは、評価基準や評価のプロセス・手順を理解している　※２,3.79,3.6,3.75,3.48,0.19,0.04
人事制度,Ｑ５９．あなたは、自分に対する評価には納得している　※２,3.53,3.73,3.64,3.56,-0.2,-0.11
人事制度,Ｑ６０．中小機構では、優秀な人材にふさわしい地位や役職が与えられている　※２,,,,,,
人事制度,Ｑ６１．中小機構では、人事異動において本人の育成が考慮されている　※１,,,,,,
人事制度,Ｑ６２．中小機構は、出産・育児、介護等をする上で働きやすい制度や環境が整っている　※２,,,,,,
人事制度,Ｑ６３．中小機構の研修はあなたの能力向上に役立っている　※１,,,,,,
人事制度,Ｑ６４．中小機構の人事制度（任用、評価、研修、給与、福利厚生、各種相談窓口）は、あなたの成長と意欲の向上に役立っている　※２,,,,,,
所管官庁等,Ｑ６６．中小機構と所管官庁は、必要な情報交換が行われ、共有されている　※２,,,,,,
所管官庁等,Ｑ６７．中小機構と所管官庁との間で、業務上の課題や改善点について意見交換ができる環境が整っている　※２,,,,,,
所管官庁等,Ｑ６８．あなたは、本部が都心にあることが中小機構の業務に良い影響を与えていると思う　※１,,,,,,
機構,Ｑ６９．あなたに経営層の考えていることがきちんと伝わってくる　※２,3.21,3.27,3.11,3.2,-0.06,0.1
機構,Ｑ７０．中小機構では、第一線（現場）の情報が経営層に伝わっている　※２,,,,,,
機構,Ｑ７１．あなたは、中小機構の将来について明るい見通しを持っている　※２,,,,,,
機構,Ｑ７２．あなたは時流や環境変化、また、それに伴う中小企業の課題や支援ニーズの変化に応じた中小機構の変革を実感している,,,,,,
機構,Ｑ７３．中小機構は時流や環境の変化を踏まえ、中小企業のニーズをくみ取って質の高い仕事ができている,,,,,,
機構,Ｑ７４．あなたは中小機構においてDX推進や業務効率化の実現に向けて新しい取組みがはじまったと感じている,,,,,,
機構,Ｑ７５．中小機構は、事業活動を通じて社会に貢献している,,,,,,
機構,Ｑ７６．中小機構は、機構で働く者を大切にしようとする風土がある,,,,,,
機構,Ｑ７７．あなたは、経営層を信頼している　※２,3.26,3.47,3.15,3.33,-0.21,0.11
エンゲージメント,Ｑ８８．あなたは、中小機構のサービスに愛着がある,,,,,,
エンゲージメント,Ｑ８９．あなたは、中小機構への愛着がある,,,,,,
エンゲージメント,Ｑ９０．あなたは、中小機構でやりたいこと（夢・目標・志など）を持っている　※２,,,,,,
エンゲージメント,Ｑ９１．あなたは、中小機構で働いていることについて誇りを持っている,,,,,,
コンプライアンス,Ｑ７８．職場では、この１年間職場内のハラスメント（セクシュアルハラスメント・パワーハラスメント・マタニティハラスメント等）による不快な行為はない,2.95,4.0,3.84,3.91,-1.05,-0.89
コンプライアンス,Ｑ７９．職場では、この１年間カスタマーハラスメントによる不快な行為はない,4.05,4.0,3.89,3.95,0.05,0.16
コンプライアンス,Ｑ８０．職場では、職場メンバー間で、コンプライアンスに関する問題意識やリスクを共有できている,3.42,4.13,4.0,3.95,-0.71,-0.58
コンプライアンス,Ｑ８１．職場では、悪い情報でも、隠さずに速やかに報告されている,3.74,4.2,4.09,3.97,-0.46,-0.35
コンプライアンス,Ｑ８２．職場では、役員・上司や所管官庁の意向であっても、法令・規程等を逸脱した行為をすることはない,4.0,4.2,4.2,4.24,-0.2,-0.2
コンプライアンス,Ｑ８３．職場では、コンプライアンス違反と思われる事案に関して、見て見ぬふりをすることはない,3.79,4.4,4.11,4.11,-0.61,-0.32
コンプライアンス,Ｑ８４．中小機構では、コンプライアンス通報窓口の設置や研修など、コンプライアンス体制が十分整っていると感じる,,,,,,
コンプライアンス,Ｑ８５．職場で慣習的に行われている業務について、コンプライアンス上の問題を感じることはない,3.84,4.13,3.94,3.96,-0.29,-0.1
コンプライアンス,Ｑ８６．職場では、中小機構が行った支援や職員等の対応に関するお客様からのご不満・ご要望に対して再発防止策などの対応がとられている,,,,,,
コンプライアンス,Ｑ８７．職場では法令・規程等を遵守し、中小機構の基本理念・行動指針・コンプライアンス宣言を十分理解したうえで仕事が進められている,,,,,,
